model,condition,n,median_LD_inclusion_clean,median_LD_inclusion_corrupted,median_gap_inclusion,frac_gap_inclusion_pos,median_LD_copy_clean,median_LD_copy_corrupted,median_gap_copy,frac_gap_copy_pos,median_copy_error_corrupted,mean_copy_error_corrupted,median_copy_error_clean
llama3.2-1b,useEffect,45,14.116704940795898,10.853229522705078,3.479085922241211,1.0,4.110197067260742,-1.8829765319824219,6.305194854736328,1.0,12.696125984191895,12.630747074551053,10.030461311340332
llama3.2-1b,useLayoutEffect,45,13.569792747497559,10.574012756347656,3.3086376190185547,1.0,3.900115966796875,-1.7440547943115234,5.83259391784668,1.0,12.113746643066406,12.140704324510363,9.79377269744873
llama3.2-1b,alias,45,13.567171096801758,11.332051277160645,2.2672319412231445,1.0,2.9543685913085938,-1.4381294250488281,4.606910705566406,1.0,12.723020553588867,12.713948843214247,10.637683868408203
llama3.2-1b,alias_ctrl,45,13.308918952941895,11.67922592163086,1.6229829788208008,1.0,2.5032119750976562,-0.45714569091796875,3.1952285766601562,1.0,12.321542739868164,12.327375687493218,11.070199966430664
llama3.2-1b,subscribe,45,13.233641624450684,12.188647270202637,1.1861467361450195,0.9777777777777777,2.0745887756347656,0.2475109100341797,1.8152828216552734,0.9777777777777777,12.092345237731934,12.053357145521376,11.3283052444458
gemma3-1b-pt,useEffect,45,14.563421726226807,9.801556587219238,4.559555530548096,1.0,7.5644378662109375,-4.383659362792969,11.928909301757812,1.0,14.061526775360107,14.17662043041653,6.825015068054199
gemma3-1b-pt,useLayoutEffect,45,14.360254287719727,10.466063976287842,3.9498586654663086,1.0,6.142364501953125,-3.7722949981689453,10.084510803222656,1.0,14.004077434539795,14.066193347507053,8.22381591796875
gemma3-1b-pt,alias,45,13.078948020935059,10.69870376586914,2.0412468910217285,1.0,3.7027740478515625,-1.9039154052734375,5.667230606079102,1.0,12.764682292938232,12.87716113196479,9.235698699951172
gemma3-1b-pt,alias_ctrl,45,13.024127006530762,11.700665473937988,1.1817970275878906,1.0,2.8973350524902344,-0.9170379638671875,3.752328872680664,1.0,12.631724834442139,12.671951908535428,10.077290534973145
gemma3-1b-pt,subscribe,45,13.449166297912598,11.814957618713379,1.5835866928100586,1.0,3.3068771362304688,-1.2509193420410156,4.531126022338867,1.0,12.950228214263916,12.954532612694635,10.024654388427734
