model,method,dependent_var,term,estimate,std_err,ci_low,ci_high,p_value
gemma3-1b-pt,ols_cluster,D,const,0.5864583333333336,0.08798643592286169,0.41400808779648346,0.7589085788701838,2.6407740148476345e-11
gemma3-1b-pt,ols_cluster,D,pos_dep_first_code,1.0052083333333328,0.03459810454982091,0.9373972944823324,1.073019372184333,1.3755533922693901e-185
gemma3-1b-pt,ols_cluster,D,role_dep_useState_form_code,0.35381944444444524,0.04633363921458596,0.26300718031118403,0.44463170857770645,2.2348285492490123e-14
gemma3-1b-pt,ols_cluster,D,decl_dep_first_code,0.2331250000000012,0.024042735582418588,0.1860021041686411,0.2802478958313613,3.1270416391699034e-22
gemma3-1b-pt,ols_cluster,D,condition_useLayoutEffect,-0.44131944444444465,0.041637482120178974,-0.5229274098069259,-0.35971147908196344,3.0089185602610774e-26
gemma3-1b-pt,ols_cluster,D,condition_alias,-0.4298611111111114,0.05382609430263816,-0.5353583173727388,-0.324363904849484,1.3926340643876759e-15
gemma3-1b-pt,ols_cluster,D,condition_alias_ctrl,-0.4760416666666669,0.06331930193144861,-0.6001452179785237,-0.3519381153548102,5.557246500369484e-14
gemma3-1b-pt,ols_cluster,D,condition_subscribe,-0.4180555555555556,0.06211173941405199,-0.5397923278242345,-0.2963187832868768,1.6884745388528724e-11
gemma3-1b-pt,ols_cluster,D,role_dep_useState_form_x_useLayoutEffect,-0.07951388888888872,0.0168760796887053,-0.11259039727897903,-0.046437380498798406,2.4573999917247553e-06
gemma3-1b-pt,ols_cluster,D,role_dep_useState_form_x_alias,0.04791666666666669,0.024272314738206055,0.0003438039583620739,0.09548952937497131,0.04836714101677383
gemma3-1b-pt,ols_cluster,D,role_dep_useState_form_x_alias_ctrl,0.28715277777777776,0.024647086199502143,0.23884537650289936,0.3354601790526561,2.279101586084433e-31
gemma3-1b-pt,ols_cluster,D,role_dep_useState_form_x_subscribe,0.3965277777777779,0.02292592394114999,0.35159379254081935,0.4414617630147365,5.038238061867939e-67
llama3.2-1b,ols_cluster,D,const,0.44375000000000003,0.0816604411117974,0.28369847645922314,0.603801523540777,5.507748372489123e-08
llama3.2-1b,ols_cluster,D,pos_dep_first_code,1.2814583333333314,0.038272551709987494,1.2064455103853091,1.3564711562813536,8.683362427933382e-246
llama3.2-1b,ols_cluster,D,role_dep_useState_form_code,1.075694444444446,0.03679674994275108,1.0035741398085276,1.1478147490803645,7.298169210447953e-188
llama3.2-1b,ols_cluster,D,decl_dep_first_code,0.4974305555555564,0.02291554608628028,0.45251691054037924,0.5423442005707335,1.757220204950784e-104
llama3.2-1b,ols_cluster,D,condition_useLayoutEffect,-0.037847222222222345,0.013508972302554175,-0.06432432140337765,-0.011370123041067035,0.005084421598294219
llama3.2-1b,ols_cluster,D,condition_alias,-0.22395833333333337,0.03857458634327094,-0.29956313328467504,-0.1483535333819917,6.403957052185422e-09
llama3.2-1b,ols_cluster,D,condition_alias_ctrl,-0.3861111111111113,0.05322112460068619,-0.4904225985451749,-0.2817996236770477,4.021163948257645e-13
llama3.2-1b,ols_cluster,D,condition_subscribe,-0.506597222222222,0.07097207480974628,-0.6456999327574071,-0.36749451168703695,9.471268263711058e-13
llama3.2-1b,ols_cluster,D,role_dep_useState_form_x_useLayoutEffect,-0.08229166666666682,0.007991688073544551,-0.09795508746649242,-0.06662824586684121,7.257450894716223e-25
llama3.2-1b,ols_cluster,D,role_dep_useState_form_x_alias,-0.13159722222222242,0.02299724382047241,-0.17667099185403468,-0.08652345259041018,1.0508899709084259e-08
llama3.2-1b,ols_cluster,D,role_dep_useState_form_x_alias_ctrl,0.17499999999999996,0.028373625685994507,0.11938871554463014,0.23061128445536977,6.929061646269409e-10
llama3.2-1b,ols_cluster,D,role_dep_useState_form_x_subscribe,0.24201388888888914,0.030853807965376852,0.18154153649083546,0.3024862412869428,4.3679828042387176e-15
