model,model_spec,method,term,estimate,std_err,ci_low,ci_high,p_value
llama3.2-1b,main_effects,mixedlm,Intercept,0.4396939330630833,0.08154214659391021,0.2798742625169338,0.5995136036092328,6.958897704423129e-08
llama3.2-1b,main_effects,mixedlm,pos_dep_first,1.227176226509942,0.02429514228317341,1.1795586226356458,1.274793830384238,0.0
llama3.2-1b,main_effects,mixedlm,role_dep_reactive,1.0713367091284858,0.02429514228317341,1.0237191052541896,1.118954313002782,0.0
llama3.2-1b,main_effects,mixedlm,decl_dep_first,0.4114320172203912,0.02429514228317341,0.3638144133460951,0.4590496210946873,2.4944081094773597e-64
llama3.2-1b,main_effects,ols_cluster,Intercept,0.43969393306308296,0.08188581920920318,0.27920067656848657,0.6001871895576794,7.891233541909152e-08
llama3.2-1b,main_effects,ols_cluster,pos_dep_first,1.2271762265099417,0.03765581954916889,1.1533721763852314,1.300980276634652,5.817505268766623e-233
llama3.2-1b,main_effects,ols_cluster,role_dep_reactive,1.071336709128486,0.03650086422325504,0.9997963298463195,1.1428770884106525,2.3206163204642875e-189
llama3.2-1b,main_effects,ols_cluster,decl_dep_first,0.4114320172203912,0.02291561113365153,0.3665182447147091,0.45634578972607326,4.447536274006683e-72
gemma3-1b-pt,main_effects,mixedlm,Intercept,0.5894168482886427,0.08769280420938684,0.41754211033492206,0.7612915862423634,1.800088051018701e-11
gemma3-1b-pt,main_effects,mixedlm,pos_dep_first,1.1431754589080811,0.026452144432378685,1.091330208506767,1.1950207093093952,0.0
gemma3-1b-pt,main_effects,mixedlm,role_dep_reactive,0.3604817973242866,0.026452144432378685,0.30863654692297265,0.4123270477256005,2.7409587038810267e-42
gemma3-1b-pt,main_effects,mixedlm,decl_dep_first,0.20021296077304418,0.026452144432378685,0.14836771037173024,0.2520582111743581,3.7647170610081845e-14
gemma3-1b-pt,main_effects,ols_cluster,Intercept,0.5894168482886422,0.08806204603426158,0.4168184096565811,0.7620152869207032,2.1834304472666602e-11
gemma3-1b-pt,main_effects,ols_cluster,pos_dep_first,1.1431754589080807,0.035443422767760704,1.0737076267944428,1.2126432910217186,3.13918014928627e-228
gemma3-1b-pt,main_effects,ols_cluster,role_dep_reactive,0.3604817973242867,0.0457031048435843,0.2709053578492034,0.45005823679937,3.083780892718768e-15
gemma3-1b-pt,main_effects,ols_cluster,decl_dep_first,0.20021296077304415,0.02272675384475366,0.15566934175181976,0.24475657979426854,1.2562524671520943e-18
llama3.2-1b,with_interaction,mixedlm,Intercept,0.4396939330630837,0.0815420901511028,0.27987437314280394,0.5995134929833634,6.958753117688766e-08
llama3.2-1b,with_interaction,mixedlm,pos_dep_first,1.227176226509942,0.024253494535413134,1.1796402507212933,1.2747122022985906,0.0
llama3.2-1b,with_interaction,mixedlm,role_dep_reactive,1.0713367091284858,0.024253494535413134,1.0238007333398371,1.1188726849171344,0.0
llama3.2-1b,with_interaction,mixedlm,decl_dep_first,0.4114320172203912,0.024253494535413134,0.3638960414317424,0.45896799300903995,1.521140966365516e-64
llama3.2-1b,with_interaction,mixedlm,pos_dep_first:role_dep_reactive,-0.034915781021118156,0.024253494535413134,-0.08245175680976691,0.012620194767530596,0.14997534401775892
llama3.2-1b,with_interaction,ols_cluster,Intercept,0.43969393306308296,0.08200107024331085,0.27897478869245457,0.6004130774337113,8.228223117704304e-08
llama3.2-1b,with_interaction,ols_cluster,pos_dep_first,1.2271762265099415,0.03770881861769041,1.1532683001197148,1.3010841529001682,2.5892018034079824e-232
llama3.2-1b,with_interaction,ols_cluster,role_dep_reactive,1.0713367091284858,0.03655223773808558,0.9996956396074922,1.1429777786494792,7.792651533716785e-189
llama3.2-1b,with_interaction,ols_cluster,decl_dep_first,0.4114320172203906,0.0229478639450158,0.3664550303660344,0.45640900407474677,7.004079544824858e-72
llama3.2-1b,with_interaction,ols_cluster,pos_x_role,-0.03491578102111745,0.018290830006893997,-0.07076514908197419,0.0009335870397392948,0.05627206125568328
gemma3-1b-pt,with_interaction,mixedlm,Intercept,0.5894168482886419,0.0876924753013206,0.41754275498288534,0.7612909415943985,1.7997765797857653e-11
gemma3-1b-pt,with_interaction,mixedlm,pos_dep_first,1.1431754589080811,0.02614600612031212,1.0919302285727055,1.1944206892434568,0.0
gemma3-1b-pt,with_interaction,mixedlm,role_dep_reactive,0.3604817973242866,0.02614600612031212,0.309236566988911,0.4117270276596622,3.0408995725957176e-43
gemma3-1b-pt,with_interaction,mixedlm,decl_dep_first,0.20021296077304418,0.02614600612031212,0.1489677304376686,0.25145819110841977,1.895919251443225e-14
gemma3-1b-pt,with_interaction,mixedlm,pos_dep_first:role_dep_reactive,-0.07554966078864205,0.02614600612031212,-0.12679489112401762,-0.02430443045326646,0.0038581857963000434
gemma3-1b-pt,with_interaction,ols_cluster,Intercept,0.5894168482886422,0.08818598986200978,0.41657548421808865,0.7622582123591957,2.3283659842895084e-11
gemma3-1b-pt,with_interaction,ols_cluster,pos_dep_first,1.1431754589080805,0.03549330797579483,1.0736098535833343,1.2127410642328267,1.355082019969509e-227
gemma3-1b-pt,with_interaction,ols_cluster,role_dep_reactive,0.36048179732428653,0.045767430146133894,0.27077928257291134,0.45018431207566173,3.3699486002102043e-15
gemma3-1b-pt,with_interaction,ols_cluster,decl_dep_first,0.20021296077304387,0.022758740846994256,0.15560664837945454,0.2448192731666332,1.4028503671746071e-18
gemma3-1b-pt,with_interaction,ols_cluster,pos_x_role,-0.0755496607886419,0.01897006571111481,-0.11273030636678515,-0.038369015210498666,6.817333726811671e-05
