model,state_role,decl_order,body_order,reactive_body_pos,n,median_LD_reactive,mean_LD_reactive,frac_LD_reactive_pos,median_LD_reactive_vs_close,median_LD_stable_vs_close
gemma3-1b-pt,alt_reactive,reactive_first,alt_first,first,45,1.3951492309570312,1.3365278879801432,0.9333333333333333,12.938467979431152,11.61135721206665
gemma3-1b-pt,alt_reactive,reactive_first,dep_first,second,45,-1.405172348022461,-1.2507280985514322,0.06666666666666667,11.81140422821045,13.17125415802002
gemma3-1b-pt,alt_reactive,stable_first,alt_first,first,45,0.7535495758056641,0.643052249484592,0.8666666666666667,12.916343688964844,12.336703300476074
gemma3-1b-pt,alt_reactive,stable_first,dep_first,second,45,-1.696676254272461,-1.644592242770725,0.022222222222222223,11.49406909942627,13.180814743041992
gemma3-1b-pt,dep_reactive,reactive_first,alt_first,second,45,0.11443519592285156,0.026785447862413193,0.5555555555555556,12.612956523895264,12.800400257110596
gemma3-1b-pt,dep_reactive,reactive_first,dep_first,first,45,2.1590614318847656,2.1301937950981986,1.0,13.482415199279785,11.371236801147461
gemma3-1b-pt,dep_reactive,stable_first,alt_first,second,45,-0.16595077514648438,-0.26223975287543405,0.37777777777777777,12.426166534423828,12.937873363494873
gemma3-1b-pt,dep_reactive,stable_first,dep_first,first,45,1.8027172088623047,1.9048550923665364,1.0,13.476478576660156,11.853053569793701
llama3.2-1b,alt_reactive,reactive_first,alt_first,first,45,2.4579334259033203,2.4237288581000436,1.0,13.779912948608398,11.330972671508789
llama3.2-1b,alt_reactive,reactive_first,dep_first,second,45,-0.34947967529296875,-0.2025376213921441,0.37777777777777777,13.138899803161621,13.103715896606445
llama3.2-1b,alt_reactive,stable_first,alt_first,first,45,1.3605003356933594,1.363740709092882,1.0,13.571208000183105,12.199076652526855
llama3.2-1b,alt_reactive,stable_first,dep_first,second,45,-1.2389144897460938,-1.058360841539171,0.06666666666666667,12.490089416503906,13.435561180114746
llama3.2-1b,dep_reactive,reactive_first,alt_first,second,45,0.6053066253662109,0.6419977400037977,0.8888888888888888,13.375025749206543,12.848999977111816
llama3.2-1b,dep_reactive,reactive_first,dep_first,first,45,2.939594268798828,3.0678859286838107,1.0,14.265583038330078,11.310711860656738
llama3.2-1b,dep_reactive,stable_first,alt_first,second,45,-0.03345298767089844,-0.004457346598307292,0.4888888888888889,12.887670516967773,13.037313461303711
llama3.2-1b,dep_reactive,stable_first,dep_first,first,45,2.261157989501953,2.338696246676975,1.0,14.130315780639648,11.698070526123047
